,_id,workerId,textId,prediction,label,stance,leaning,text
54,2KrpJXyZqaFisPY3S,worker272,704,Biased,Non-biased,Democrats,0,"This is one of the reasons why our politics seems so stuck. Not only do we have a hard time talking to each other, the very structure of our elections doesn’t require our politicians to even try. And when you win by turning out the base, why risk appealing to anyone else? A broken system not only elects politicians who need not listen to everyone, it actually incentivizes them to govern that way too."
55,2L2cWBXy8b4DqP4Nx,worker379,1914,Biased,Non-biased,Democrats,0,"AOC, like all powerful women, has to go through a rigorous beauty regimen simply to exist in the public eye."
56,2LHJFCGe2QR48BXAr,worker349,998,Biased,Biased,Independent,1,"The House Democrats’ 1,400-page coronavirus recovery bill threatens the livelihood of millions of American graduates and their families by expanding work visas for many of the roughly 1.5 million foreign college graduate contract workers who hold jobs in the United States."
57,2LMcZTchqKWpnwu2s,worker21,581,Non-Biased,Non-biased,Independent,0,"In Heller, the Supreme Court struck down a ban on handgun possession in the nation’s capital, ruling for the first time that the Second Amendment protects an individual right to gun ownership."
58,2LnuSCTDEq8tumaGo,worker313,648,Non-Biased,Biased,Democrats,0,"But the timing made the mailer less of an attack than an argument in favor of Lewis George: It arrived in mailboxes as protests over police killings of Black people, including George Floyd in Minneapolis, broke out nationwide and sparked calls for massive overhauls of police departments across the country."
59,2Lxd2g6vNTCh4WDfz,worker345,451,Biased,Biased,Democrats,1,The flurry of hirings brought the NFL under fire Tuesday from those who think the league’s “Rooney Rule” – an NFL policy that requires teams to interview minority candidates for head coaching and senior football operations jobs – doesn't do what it's intended to do.
60,2MCbFvQ2n6trEsKD3,worker89,911,Biased,Biased,Democrats,0,"Throughout his presidency, Trump has shown a penchant for quick fixes and slapdash policies aimed at satisfying the short-term appetites of his base, no matter how much it hurts the country’s long-term welfare."
61,2MKbGWGz2xHttMktN,worker32,1529,Biased,Biased,Democrats,0,"In the dominant political fight in D.C., Donald Trump wants a giant wall along the U.S./Mexico border."
62,2MPxaNqabhPaecety,worker33,1056,Biased,Non-biased,Independent,1,"House Democrats are not currently pushing a firearm registry, but without a complete knowledge of the location of all firearms, universal background checks simply will not work."
64,2N3JMK6g3KdAKLgou,worker293,629,Non-Biased,Non-biased,Democrats,0,"The decision upends a determination by Republican Secretary of State Tre Hargett’s office that fear of catching or unwittingly spreading the virus at the polls wouldn’t qualify someone to vote by mail, The state argued such an expansion wouldn’t be feasible for the 2020 elections, claiming lack of money, personnel and equipment for increased voting by mail, among other concerns."
65,2N6sTdJPWWysnXTE8,worker177,888,Non-Biased,Biased,Republican,1,"In a bizarre and unexpected twist, pop super star Lana Del Rey is being smeared as “racist” over an Instagram post in which she slammed modern-day feminism."
68,2NmHayK39Lxj8Axv6,worker140,712,Non-Biased,Biased,Independent,1,"For starters, Gautney, per her Twitter profile, is an associate professor of sociology at Fordham University, a private school located in New York City. None of this is a problem on its own; in a free society, people should be able to tweet whatever dumb things they want while working in whichever industry or field of research."
69,2NtqAzB6byDD5vfN4,worker60,849,Biased,Non-biased,Republican,1,"As anarchists tear down statues and deface monuments to America’s Founders and those of President Abraham Lincoln and even slavery abolitionist Frederick Douglass, Lin-Manuel Miranda has been silent on this violence on America’s history."
70,2PJwhG2kfQPmLtMEe,worker104,1761,Biased,Biased,Democrats,1,"Take, for example, the four reliably liberal Supreme Court justices, all of whom believe it’s OK to compel Americans to pay dues to political organizations they disagree with, to coerce them to say things they abhor, and to compel them to create things that undermine their principles."
72,2PYZLqyR9KQBrBpHx,worker243,1967,Biased,Biased,Democrats,1,"Doubling down, Rapaport — a raging left-wing Trump hater — tweeted “Singing slave owners.”"
73,2PgKFn2FvbBJpLhHM,worker358,1272,Non-Biased,Non-biased,Democrats,0,"After winning his 15th major championship, the legendary golfer Tiger Woods got a chance to laugh at all who doubted him."
74,2PgYyGTmwxsCh5yac,worker257,724,Biased,Biased,Democrats,1,Drivers in Ireland will be forced to buy electric vehicles within ten years according to a new law by the left-wing government in Dublin.
76,2RNojGmoWzNAAuL67,worker204,1068,Non-Biased,Non-biased,Democrats,1,"“The goal is to send a message of peace,” the 22-year-old claimed. He insisted that the original idea was to show a man stealing inexpensive goods and showing a similar scenario to George Floyd’s death, with a police officer on the thief’s neck."
77,2RXjgpHZnivwnhPrf,worker129,318,Non-Biased,Non-biased,Republican,0,As Donald Trump fights to keep his tax and business records from Manhattan prosecutors it’s time to alert Americans that tax returns used to be public. 
79,2TE5QSn6hku7P6JwB,worker124,704,Non-Biased,Non-biased,Democrats,0,"This is one of the reasons why our politics seems so stuck. Not only do we have a hard time talking to each other, the very structure of our elections doesn’t require our politicians to even try. And when you win by turning out the base, why risk appealing to anyone else? A broken system not only elects politicians who need not listen to everyone, it actually incentivizes them to govern that way too."
80,2TbPEqA7rf4pZBBzQ,worker301,1692,Biased,Biased,Democrats,0,But Hedges also sees hope for saving the United States from imminent tyranny. Where? In the George Floyd protests and the possibility of revolutionary change.
81,2W7kFwcywcponNids,worker67,229,Non-Biased,Non-biased,Democrats,0,Barrett argued in a 38-page opinion that the Founders did not intend to deny gun rights to all felons — only those who may be considered dangerous.
82,2WBMMzaYwtowgBLFx,worker151,1072,Non-Biased,Non-biased,Republican,0,"A second patient, a 58-year-old obese woman with diabetes and arterial hypertension, suffered multi-organ failure and eventually died of a cardiac arrest. According to the authors of the Lancet article, they discovered “lymphocytic endotheliitis in lung, heart, kidney, and liver as well as liver cell necrosis."
83,2WFE6aiixcWDwDRsH,worker140,1572,Non-Biased,Non-biased,Independent,0,"With just over a year left in President Donald Trump's first term, another late-breaking news item barely made waves: The Interior Department — which manages the majority of the federal government's public lands — deleted ""sexual orientation"" from its anti-discrimination guidelines. "
84,2WTy6bq435sC2GLgb,worker361,1522,Non-Biased,Biased,Independent,0,"In his defense, Trump and his supporters have claimed that not all the protesters were peaceful, and that there were criminals among them. "
85,2WvLgsmbSYmQuA5fQ,worker164,1599,Biased,Biased,Democrats,1,"However, there are serious questions about Parnas’s credibility, and many of his claims about Trump are dubious or contradicted by other evidence."
86,2XAJZhsGnNsGyWguS,worker20,756,Biased,Biased,Democrats,0,"Last week, the House Judiciary Committee moved forward with plans for an expansive investigation into Trump World abuses, prompting White House Press Secretary Sarah Huckabee Sanders to release a rather intemperate press statement."
87,2XpZjHmNxQ85usQWr,worker152,287,Biased,Biased,Democrats,1,"We used to think of interracial marriage as a sign of social progress. Now, thanks to The New York Times, we know it’s just another sinister tool of white supremacy."
88,2XsyD2oaYjGNWfnTN,worker386,1903,Non-Biased,Biased,Democrats,0,"Thanks to the GOP’s commitment to voter suppression, paired with decades of phony rhetoric about voter fraud, millions of black and brown Americans have no access to the ballot box."
89,2YEMmXR6dqiGuWK5d,worker169,1954,Non-Biased,Non-biased,Republican,1,"By Monday morning he was considering a dramatic move — invoking the Insurrection Act so that he could use federal troops to enforce the law. According to a senior defense official, Trump wanted 10,000 federal troops immediately on the streets to control a situation some aides believed could escalate dangerously."
91,2YWfkEwfkr8vdSXgQ,worker108,690,Biased,Biased,Republican,0,"Many pointed out at the time of the Park Police’s first statement denying use of “tear gas” was obviously misleading. But Trump and his right-wing defenders jumped on it. Most prominently, Federalist writer Mollie Hemingway wrote a piece, shared by the president, accusing the media of falsely reporting that tear gas was used, even though the crowd was exposed to gases and compounds that clearly caused tears and severe irritation."
92,2Zag8Aetm55myCq6Q,worker114,579,Biased,Biased,Independent,1,"Nancy Pelosi Proposes 1,400-Page Coronavirus Bill Stuffed with Pork"
93,2ZbMa8q5TMz9oCCH2,worker55,1171,Non-Biased,Non-biased,Republican,1,"Thunberg lambasted business and political elites gathered at WEF Tuesday for not doing enough to tackle climate change, warning that time was running out."
96,2au2BfLHGv7wXsJg7,worker163,850,Biased,Biased,Republican,0,Coronavirus: E.U. blasts Trump's travel ban as it unleashes chaos and confusion.
98,2c3PZdhuSpN8b4wxf,worker205,2,Biased,Biased,Republican,0,"Of course, viruses don’t just “go away” regardless of the amount of propaganda or wishful thinking you throw at them. His theory, however, is telling. Trump’s strategy from the beginning of this crisis has been to minimize the threat and wish it away."
99,2c7sYxbvKdsBxwhg6,worker237,471,Non-Biased,Non-biased,Republican,0,Iowa farmers are bearing the brunt of the U.S. trade war with China as Donald Trump continues to threaten increased tariffs on Chinese imports.
100,2cEqJo38zaw96rJAZ,worker55,811,Biased,Non-biased,Republican,1,An initiative to build bridges between the Greek and Turkish speaking communities of ethnically split Cyprus faltered after the leader of the breakaway Turkish Cypriots skipped a soccer match over a dispute of the game's location.
101,2ccWiSYSkQiTPPrTJ,worker227,1953,Biased,Non-biased,Democrats,1,"The mayor of Minneapolis called Wednesday for criminal charges against the white police officer seen on video kneeling against the neck of a handcuffed Floyd, the black man who complained that he could not breathe and died in police custody."
102,2ch3iJvXhSFJXTzjB,worker298,1256,Biased,Biased,Democrats,0,"Today, the cumulative stress of Donald Trump’s escalating trade war is leading to if not an irreparable breach between America and China, then certainly a significant fraying."
103,2ckojb4Y7SdSrcLeR,worker133,149,Biased,Biased,Democrats,0,"Trump also threatened to invoke the Insurrection Act, an 1807 law that would allow the president to send U.S. armed forces into states for the purpose of domestic law enforcement, if mayors and governors didn’t do more to curb the unrest."
104,2cz3JmSffXkr3S69m,worker39,539,Biased,Non-biased,Republican,1,Soccer players who defy Olympic rules by making protest gestures at the 2020 Tokyo Games will be supported by their global union.
105,2d2SfNtBsw7H5nEGh,worker178,550,Non-Biased,Non-biased,Republican,1,"On Sunday, the Observatory said pro-Ankara fighters executed three civilians who were hiding in an industrial part of Ras al-Ain."
106,2d95czLAiDS7cMGct,worker177,1894,Non-Biased,Biased,Republican,0,"As the Republican Party is struggling to defend him in a moment of nationwide strife, President Donald Trump decided Thursday night to fuel divisions within GOP rather than make nice."
107,2dF6jhZAnfKoftbca,worker249,1882,Biased,Biased,Democrats,1,"If the Left doesn’t feel comfortable imposing its will through gun-control legislation, it will find other avenues of power to engineer the public."
109,2dxs7m2dejMo6XiAe,worker250,1104,Non-Biased,Biased,Republican,1,"Tens of millions of children under 12 months are potentially at risk for diseases such as diphtheria and polio as the Chinese coronavirus pandemic interrupts routine vaccinations, according to data published by global public health experts on Friday."
110,2eEYSyZALKPhcJE5m,worker117,1609,Biased,Biased,Republican,0,Trump White House unleashes a dangerous virus of misinformation
111,2eQyJBKDLhk7Lnsst,worker113,718,Non-Biased,Biased,Democrats,0,He lied about matters large and small. He refused to shake House Speaker Nancy Pelosi's outstretched hand. He talked up a divisive culture war.
112,2ecrYTpNpo399FSbN,worker362,917,Non-Biased,Non-biased,Republican,0,"Since Roe v. Wade, when the Supreme Court recognized the constitutional right to an abortion, state lawmakers have devised novel ways to cut off access to the procedure without banning it outright. One strategy is to require clinics and doctors to comply with an ever-expanding list of regulations, with the goal of essentially red-taping providers out of business."
113,2fDKfd3fYs3XJEpQP,worker115,1175,Non-Biased,Non-biased,Republican,0,"Sen. Bernie Sanders, I-Vt., went after Pete Buttigieg Friday for the former South Bend mayor's support from big-money donors at the final New Hampshire Institute of Politics' “Politics & Eggs” event of the cycle."
114,2gDPSRcCCBcw6HWee,worker20,669,Biased,Non-biased,Democrats,1,The U.S. moved aggressively over the past year to reduce the number of asylum seekers arriving at its southwest border through a series of measures aimed at making it a less attractive option.
115,2gvN5WbaBSYGG6N7F,worker235,1114,Non-Biased,Biased,Democrats,0,"As controversies about the “reopening” of America loom over our lives, nothing seems as intrinsically irrelevant — yet possibly as critically important — as how soon major spectator sports return."
116,2h3FG9MBGNWWNoth4,worker20,13,Biased,Biased,Democrats,1,U.S. women’s soccer team co-captain Megan Rapinoe is begging prominent male soccer stars to must begin agitating for political causes.
117,2h4HGTPFNtpzFLZzd,worker140,482,Biased,Biased,Independent,0,"But it's also true that high-profile travesties of justice, such as the one Senate Republicans are currently preparing to commit, can often provoke major political backlash. "
119,2hnX6xCBRDNWXe6q3,worker178,1070,Biased,Biased,Republican,1,"Of course, regionally, the Democrat base consists nearly exclusively on top income earners and rich executives who live in metropolitan areas and major cities along the coasts."
120,2hv8PBop34ZoBzEyS,worker306,212,Biased,Biased,Democrats,0,"In 2017, the International Basketball Federation overturned its long-criticized ban on religious headwear, including the hijab, after much scrutiny."
121,2iAH8fxFgR3JA3jjQ,worker333,1384,Non-Biased,Non-biased,Democrats,1,"CTE is a degenerative brain disease that has been found in former players of North American football , soccer, hockey, rugby union and others exposed to repeated head injury."
123,2j98fcmmBpBBRXcLJ,worker197,964,Biased,Biased,Democrats,0,"While President Donald Trump’s impeachment trial had been wrapping up, he expanded one of his most controversial and inflammatory policies with little fanfare and minimal opposition: the travel ban on people from multiple Muslim-majority countries."
124,2jMZmv2G6Box3indd,worker140,178,Biased,Non-biased,Independent,1,But Omar used Ivanka’s pro-family posts as a way to make a political point about her father’s policies regarding the families separation at U.S.-Mexico border.
125,2kmwqFFeFwCidKy2j,worker44,1864,Biased,Biased,Republican,0,"Imagine the outgoing, losing president, doing his level best to sabotage and hamstring the man who beat him in the election, alternatively whining and threatening elected Republican officials, demanding a list of those opposed to him, so that he could single them out for punishment."
127,2n27bayrhb2nbQX3e,worker197,1646,Biased,Biased,Democrats,1,"Soule needed to be in the top six runners to advance, but came out eighth because the two biological males were also competing as transgender girls."
129,2nbco8HQXWWA5YN3G,worker153,574,Biased,Biased,Democrats,1,"Rep. Alexandria Ocasio-Cortez (D-NY) slammed billionaire Jeff Bezos, the richest man in the world and owner of the Washington Post, for paying his employees what she called “starvation wages.”"
131,2noa6QP7kat3FASPf,worker257,915,Biased,Non-biased,Democrats,1,"Military ships and aircraft have been deployed to coastal communities in southeastern Australia cut off by raging wildfires that have raced towards the coast, trapping thousands as the death toll from the apocalyptic blazes continues to grow."
132,2nppGZsep8GdorkGo,worker308,1684,Non-Biased,Non-biased,Republican,1,"And now, some children from anti-vaccination families are seeking help as they confront fears that they will become infected."
133,2nsEmJCFMDoyEwwzi,worker13,950,Biased,Biased,Democrats,0,"For some on the right, all references to massacres such as these are supposed to avoid phrases such as “mass shooting” and “gun violence,” because the rhetoric, according to the right, might imply there’s something wrong with guns. "
136,2p9aXa42ZtbMcgc9B,worker8,1774,Biased,Biased,Democrats,0,"Sen. Dianne Feinstein of California was among the Democratic senators who questioned Barrett earlier this week, and she zeroed in on Trump's egregious behavior. "
137,2pDm6ryoK7rvopy5H,worker381,263,Biased,Biased,Democrats,1,"At the time, Wilson claimed he was only helping illuminate the contours of the 2016 race, before eventually being hired by one of the White House hopefuls."
138,2pEDRzwPHkg47opst,worker297,1128,Biased,Biased,Democrats,1,"It’s not a huge deal that an eccentric, pro-Trump activist clumsily used a bad analogy in a local speech. The analogy is bad enough, however, that it certainly shouldn’t be on the president’s Twitter feed."
140,2pp4vEewcTYC8rNaq,worker244,1292,Biased,Biased,Republican,0,"Radical Virginia Citizens Defense League has organized a rally in Richmond for January 20, and the event is already attracting out-of-state pro-gun folks, including a potential horde of white nationalists."
141,2qTkagcuwb7656eku,worker383,1043,Non-Biased,Biased,Democrats,0,"Trump enjoys and encourages state brutality against people of color, and black people in particular. It excites him and his most ardent followers. But his response isn’t just based on personal predilections. It’s also based on political considerations."
144,2s7npqv75wPzajBxK,worker302,939,Biased,Biased,Democrats,0,It wasn't long after Donald Trump and his team took office that they looked for ways to make things easier for polluters.
145,2sHfDJ8tehdSwpuZ4,worker142,1775,Biased,Biased,Independent,1,"Those activists will, of course, all be on the left — watermelons, essentially: green on the outside, red on the inside — and will continue to promote environmentalism by whatever means possible in order advance the controlling agenda of global eco-fascism."
146,2seGaKsM6H6nFM6Hy,worker90,279,Biased,Biased,Democrats,0,A report in The New York Times claims that the UFC star Conor McGregor sexually assaulted a woman in Ireland.
147,2sej9C4chDSx2RmNK,worker85,652,Biased,Biased,Republican,1,"Justice Sonia Sotomayor, in her dissent, accused the majority of weaponizing the First Amendment — an unconscionable position for a person tasked with “faithfully and impartially” discharging the duty to protect the inherent rights of all Americans. The dissenters have perverted the intent of the Founders. It’s none of Sotomayor’s business how we use free expression. It’s her business to protect it."
148,2shHjnicRgKb7CQCr,worker7,733,Biased,Biased,Democrats,1,"Nevertheless, The Jesus Is King crooner launched his presidential campaign on Sunday in South Carolina where he railed against progressive policies such as abortion and gun control."
149,2sjNHfdxzkBbJRoyv,worker287,1391,Biased,Biased,Democrats,0,"Voting in quasi-militarized settings was not confined to the nation’s capital. In Philadelphia, on election eve, the mayor announced a curfew that was slated to take effect an hour before its polls closed, but subsequently delayed it after an outcry by other city officials and activists. "
